  400  1.0000E-03
   i   x             den           ener          pres          vel           cs
   89  4.425000E-01  1.158225E-01  6.469151E+06  2.997094E+05  2.109208E+02  1.903346E+03
   90  4.475000E-01  1.191491E-01  6.289906E+06  2.997747E+05  2.133149E+02  1.876792E+03
   91  4.525000E-01  1.225341E-01  6.117535E+06  2.998426E+05  2.157097E+02  1.850897E+03
   92  4.575000E-01  1.259779E-01  5.951702E+06  2.999133E+05  2.181052E+02  1.825638E+03
   93  4.625000E-01  1.294812E-01  5.792092E+06  2.999867E+05  2.205014E+02  1.800992E+03
   94  4.675000E-01  1.330442E-01  5.638407E+06  3.000630E+05  2.228984E+02  1.776938E+03
   95  4.725000E-01  1.366676E-01  5.490368E+06  3.001422E+05  2.252962E+02  1.753455E+03
   96  4.775000E-01  1.403519E-01  5.347711E+06  3.002244E+05  2.276948E+02  1.730525E+03
   97  4.825000E-01  1.440974E-01  5.210186E+06  3.003098E+05  2.300942E+02  1.708129E+03
   98  4.875000E-01  1.479049E-01  5.077559E+06  3.003983E+05  2.324946E+02  1.686248E+03
   99  4.925000E-01  1.517747E-01  4.949607E+06  3.004901E+05  2.348958E+02  1.664866E+03
  100  4.975000E-01  1.557075E-01  4.826121E+06  3.005853E+05  2.372980E+02  1.643967E+03
  101  5.025000E-01  1.597037E-01  4.706902E+06  3.006839E+05  2.397012E+02  1.623535E+03
  102  5.075000E-01  1.637639E-01  4.591763E+06  3.007861E+05  2.421054E+02  1.603555E+03
  103  5.125000E-01  1.678887E-01  4.480525E+06  3.008919E+05  2.445106E+02  1.584012E+03
  104  5.175000E-01  1.720787E-01  4.373021E+06  3.010015E+05  2.469169E+02  1.564893E+03
  105  5.225000E-01  1.763343E-01  4.269090E+06  3.011148E+05  2.493244E+02  1.546186E+03
  106  5.275000E-01  1.806563E-01  4.168581E+06  3.012321E+05  2.517330E+02  1.527876E+03
  107  5.325000E-01  1.850451E-01  4.071351E+06  3.013534E+05  2.541429E+02  1.509952E+03
  108  5.375000E-01  1.895015E-01  3.977263E+06  3.014789E+05  2.565539E+02  1.492403E+03
  109  5.425000E-01  1.940260E-01  3.886188E+06  3.016086E+05  2.589663E+02  1.475217E+03
  110  5.475000E-01  1.986192E-01  3.798003E+06  3.017426E+05  2.613800E+02  1.458383E+03
  111  5.525000E-01  2.032819E-01  3.712591E+06  3.018810E+05  2.637950E+02  1.441891E+03
  112  5.575000E-01  2.080147E-01  3.629840E+06  3.020240E+05  2.662115E+02  1.425732E+03
  113  5.625000E-01  2.128182E-01  3.549646E+06  3.021717E+05  2.686294E+02  1.409894E+03
  114  5.675000E-01  2.176931E-01  3.471907E+06  3.023241E+05  2.710489E+02  1.394370E+03
  115  5.725000E-01  2.226402E-01  3.396528E+06  3.024815E+05  2.734699E+02  1.379150E+03
  116  5.775000E-01  2.276601E-01  3.323417E+06  3.026438E+05  2.758925E+02  1.364226E+03
  117  5.825000E-01  2.327537E-01  3.252487E+06  3.028113E+05  2.783167E+02  1.349590E+03
  118  5.875000E-01  2.379215E-01  3.183654E+06  3.029840E+05  2.807427E+02  1.335233E+03
  119  5.925000E-01  2.431645E-01  3.116841E+06  3.031620E+05  2.831704E+02  1.321148E+03
  120  5.975000E-01  2.484833E-01  3.051971E+06  3.033456E+05  2.855999E+02  1.307327E+03
  121  6.025000E-01  2.538789E-01  2.988973E+06  3.035348E+05  2.880312E+02  1.293764E+03
  122  6.075000E-01  2.593519E-01  2.927776E+06  3.037298E+05  2.904645E+02  1.280451E+03
  123  6.125000E-01  2.649033E-01  2.868317E+06  3.039306E+05  2.928997E+02  1.267382E+03
  124  6.175000E-01  2.705338E-01  2.810530E+06  3.041374E+05  2.953370E+02  1.254551E+03
  125  6.225000E-01  2.762445E-01  2.754358E+06  3.043504E+05  2.977763E+02  1.241950E+03
  126  6.275000E-01  2.820361E-01  2.699741E+06  3.045697E+05  3.002178E+02  1.229575E+03
  127  6.325000E-01  2.879096E-01  2.646625E+06  3.047955E+05  3.026615E+02  1.217419E+03
  128  6.375000E-01  2.938659E-01  2.594957E+06  3.050278E+05  3.051075E+02  1.205477E+03
  129  6.425000E-01  2.999060E-01  2.544687E+06  3.052668E+05  3.075558E+02  1.193744E+03
  130  6.475000E-01  3.060310E-01  2.495767E+06  3.055127E+05  3.100065E+02  1.182214E+03
  131  6.525000E-01  3.122417E-01  2.448149E+06  3.057657E+05  3.124596E+02  1.170882E+03
  132  6.575000E-01  3.185392E-01  2.401791E+06  3.060258E+05  3.149152E+02  1.159743E+03
  133  6.625000E-01  3.249246E-01  2.356649E+06  3.062933E+05  3.173735E+02  1.148792E+03
  134  6.675000E-01  3.313990E-01  2.312682E+06  3.065683E+05  3.198344E+02  1.138026E+03
  135  6.725000E-01  3.379635E-01  2.269852E+06  3.068509E+05  3.222980E+02  1.127438E+03
  136  6.775000E-01  3.446193E-01  2.228121E+06  3.071414E+05  3.247645E+02  1.117026E+03
  137  6.825000E-01  3.513675E-01  2.187453E+06  3.074399E+05  3.272338E+02  1.106785E+03
  138  6.875000E-01  3.582093E-01  2.147813E+06  3.077466E+05  3.297060E+02  1.096711E+03
  139  6.925000E-01  3.651460E-01  2.109167E+06  3.080616E+05  3.321813E+02  1.086800E+03
  140  6.975000E-01  3.721788E-01  2.071485E+06  3.083852E+05  3.346596E+02  1.077048E+03
  141  7.025000E-01  3.793091E-01  2.034735E+06  3.087174E+05  3.371412E+02  1.067451E+03
  142  7.075000E-01  3.865381E-01  1.998889E+06  3.090586E+05  3.396260E+02  1.058006E+03
  143  7.125000E-01  3.938673E-01  1.963916E+06  3.094089E+05  3.421141E+02  1.048710E+03
  144  7.175000E-01  4.012980E-01  1.929791E+06  3.097685E+05  3.446057E+02  1.039559E+03
  145  7.225000E-01  4.088317E-01  1.896486E+06  3.101375E+05  3.471007E+02  1.030550E+03
  146  7.275000E-01  4.164700E-01  1.863978E+06  3.105163E+05  3.495993E+02  1.021679E+03
  147  7.325000E-01  4.242142E-01  1.832240E+06  3.109049E+05  3.521016E+02  1.012944E+03
  148  7.375000E-01  4.320660E-01  1.801251E+06  3.113037E+05  3.546077E+02  1.004341E+03
  149  7.425000E-01  4.400270E-01  1.770987E+06  3.117128E+05  3.571176E+02  9.958677E+02
  150  7.475000E-01  4.480988E-01  1.741426E+06  3.121324E+05  3.596314E+02  9.875214E+02
  151  7.525000E-01  4.562832E-01  1.712548E+06  3.125627E+05  3.621493E+02  9.792992E+02
  152  7.575000E-01  4.645818E-01  1.684332E+06  3.130041E+05  3.646713E+02  9.711983E+02
  153  7.625000E-01  4.729965E-01  1.656760E+06  3.134567E+05  3.671975E+02  9.632162E+02
  154  7.675000E-01  4.815291E-01  1.629811E+06  3.139207E+05  3.697280E+02  9.553504E+02
  155  7.725000E-01  4.901815E-01  1.603469E+06  3.143964E+05  3.722629E+02  9.475984E+02
  156  7.775000E-01  4.989557E-01  1.577716E+06  3.148840E+05  3.748023E+02  9.399578E+02
  157  7.825000E-01  5.078535E-01  1.552534E+06  3.153839E+05  3.773463E+02  9.324263E+02
  158  7.875000E-01  5.168772E-01  1.527907E+06  3.158962E+05  3.798950E+02  9.250016E+02
  159  7.925000E-01  5.260288E-01  1.503821E+06  3.164212E+05  3.824485E+02  9.176816E+02
  160  7.975000E-01  5.353105E-01  1.480258E+06  3.169592E+05  3.850070E+02  9.104640E+02
  161  8.025000E-01  5.447245E-01  1.457206E+06  3.175104E+05  3.875704E+02  9.033469E+02
  162  8.075000E-01  5.542730E-01  1.434650E+06  3.180751E+05  3.901390E+02  8.963281E+02
  163  8.125000E-01  5.639586E-01  1.412576E+06  3.186537E+05  3.927128E+02  8.894056E+02
  164  8.175000E-01  5.737835E-01  1.390970E+06  3.192463E+05  3.952920E+02  8.825777E+02
  165  8.225000E-01  5.837503E-01  1.369821E+06  3.198534E+05  3.978766E+02  8.758423E+02
  166  8.275000E-01  5.938616E-01  1.349115E+06  3.204751E+05  4.004668E+02  8.691977E+02
  167  8.325000E-01  6.041200E-01  1.328841E+06  3.211119E+05  4.030626E+02  8.626420E+02
  168  8.375000E-01  6.145282E-01  1.308988E+06  3.217640E+05  4.056643E+02  8.561735E+02
  169  8.425000E-01  6.250890E-01  1.289543E+06  3.224317E+05  4.082718E+02  8.497906E+02
  170  8.475000E-01  6.358054E-01  1.270496E+06  3.231154E+05  4.108854E+02  8.434916E+02
  171  8.525000E-01  6.466801E-01  1.251838E+06  3.238154E+05  4.135051E+02  8.372748E+02
  172  8.575000E-01  6.577164E-01  1.233556E+06  3.245321E+05  4.161312E+02  8.311387E+02
  173  8.625000E-01  6.689174E-01  1.215643E+06  3.252658E+05  4.187635E+02  8.250817E+02
  174  8.675000E-01  6.802862E-01  1.198087E+06  3.260168E+05  4.214025E+02  8.191024E+02
  175  8.725000E-01  6.918262E-01  1.180881E+06  3.267856E+05  4.240480E+02  8.131993E+02
